Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
151,33,0,3,7,Some Random Commen with Id 151
152,33,0,187,5,Some Random Commen with Id 152
153,33,0,29,2,Some Random Commen with Id 153
154,33,0,180,2,Some Random Commen with Id 154
155,33,0,22,7,Some Random Commen with Id 155
156,34,6,84,2,Some Random Commen with Id 156
157,34,6,90,7,Some Random Commen with Id 157
158,34,6,40,3,Some Random Commen with Id 158
159,34,6,59,9,Some Random Commen with Id 159
160,36,4,93,2,Some Random Commen with Id 160
161,36,4,178,5,Some Random Commen with Id 161
162,36,4,116,3,Some Random Commen with Id 162
163,36,4,50,0,Some Random Commen with Id 163
164,36,4,89,6,Some Random Commen with Id 164
165,36,4,56,5,Some Random Commen with Id 165
166,36,4,167,6,Some Random Commen with Id 166
167,36,4,92,6,Some Random Commen with Id 167
168,37,9,153,9,Some Random Commen with Id 168
169,37,9,59,1,Some Random Commen with Id 169
170,37,9,144,3,Some Random Commen with Id 170
171,37,9,113,9,Some Random Commen with Id 171
172,37,9,47,4,Some Random Commen with Id 172
173,37,9,90,3,Some Random Commen with Id 173
174,38,1,119,4,Some Random Commen with Id 174
175,38,1,185,7,Some Random Commen with Id 175
176,38,1,104,9,Some Random Commen with Id 176
177,38,1,1,1,Some Random Commen with Id 177
178,38,1,78,8,Some Random Commen with Id 178
179,38,1,20,4,Some Random Commen with Id 179
180,39,6,188,5,Some Random Commen with Id 180
181,39,6,68,2,Some Random Commen with Id 181
182,39,6,53,8,Some Random Commen with Id 182
183,39,6,54,9,Some Random Commen with Id 183
184,39,6,169,5,Some Random Commen with Id 184
185,39,6,170,6,Some Random Commen with Id 185
